"BusinessEntityID","NationalIDNumber","LoginID","OrganizationNode","OrganizationLevel","JobTitle","BirthDate","MaritalStatus","Gender","HireDate","SalariedFlag","VacationHours","SickLeaveHours","CurrentFlag","rowguid","ModifiedDate"
"1","295847284","adventure-works\ken0","","","Chief Executive Officer","1/29/1969 12:00:00 AM","S","M","1/14/2009 12:00:00 AM","True","99","69","True","f01251e5-96a3-448d-981e-0f99d789110d","6/30/2014 12:00:00 AM"
"2","245797967","adventure-works\terri0","/1/","1","Vice President of Engineering","8/1/1971 12:00:00 AM","S","F","1/31/2008 12:00:00 AM","True","1","20","True","45e8f437-670d-4409-93cb-f9424a40d6ee","6/30/2014 12:00:00 AM"
"3","509647174","adventure-works\roberto0","/1/1/","2","Engineering Manager","11/12/1974 12:00:00 AM","M","M","11/11/2007 12:00:00 AM","True","2","21","True","9bbbfb2c-efbb-4217-9ab7-f97689328841","6/30/2014 12:00:00 AM"
"4","112457891","adventure-works\rob0","/1/1/1/","3","Senior Tool Designer","12/23/1974 12:00:00 AM","S","M","12/5/2007 12:00:00 AM","False","48","80","True","59747955-87b8-443f-8ed4-f8ad3afdf3a9","6/30/2014 12:00:00 AM"
"5","695256908","adventure-works\gail0","/1/1/2/","3","Design Engineer","9/27/1952 12:00:00 AM","M","F","1/6/2008 12:00:00 AM","True","5","22","True","ec84ae09-f9b8-4a15-b4a9-6ccbab919b08","6/30/2014 12:00:00 AM"
"6","998320692","adventure-works\jossef0","/1/1/3/","3","Design Engineer","3/11/1959 12:00:00 AM","M","M","1/24/2008 12:00:00 AM","True","6","23","True","e39056f1-9cd5-478d-8945-14aca7fbdcdd","6/30/2014 12:00:00 AM"
"7","134969118","adventure-works\dylan0","/1/1/4/","3","Research and Development Manager","2/24/1987 12:00:00 AM","M","M","2/8/2009 12:00:00 AM","True","61","50","True","4f46deca-ef01-41fd-9829-0adab368e431","6/30/2014 12:00:00 AM"
"8","811994146","adventure-works\diane1","/1/1/4/1/","4","Research and Development Engineer","6/5/1986 12:00:00 AM","S","F","12/29/2008 12:00:00 AM","True","62","51","True","31112635-663b-4018-b4a2-a685c0bf48a4","6/30/2014 12:00:00 AM"
"9","658797903","adventure-works\gigi0","/1/1/4/2/","4","Research and Development Engineer","1/21/1979 12:00:00 AM","M","F","1/16/2009 12:00:00 AM","True","63","51","True","50b6cdc6-7570-47ef-9570-48a64b5f2ecf","6/30/2014 12:00:00 AM"
"10","879342154","adventure-works\michael6","/1/1/4/3/","4","Research and Development Manager","11/30/1984 12:00:00 AM","M","M","5/3/2009 12:00:00 AM","True","16","64","True","eaa43680-5571-40cb-ab1a-3bf68f04459e","6/30/2014 12:00:00 AM"
"11","974026903","adventure-works\ovidiu0","/1/1/5/","3","Senior Tool Designer","1/17/1978 12:00:00 AM","S","M","12/5/2010 12:00:00 AM","False","7","23","True","f68c7c19-fac1-438c-9bb7-ac33fcc341c3","6/30/2014 12:00:00 AM"
"12","480168528","adventure-works\thierry0","/1/1/5/1/","4","Tool Designer","7/29/1959 12:00:00 AM","M","M","12/11/2007 12:00:00 AM","False","9","24","True","1d955171-e773-4fad-8382-40fd898d5d4d","6/30/2014 12:00:00 AM"
