"BusinessEntityID","PhoneNumber","PhoneNumberTypeID","ModifiedDate"
"1","697-555-0142","1","1/7/2009 12:00:00 AM"
"2","819-555-0175","3","1/24/2008 12:00:00 AM"
"3","212-555-0187","1","11/4/2007 12:00:00 AM"
"4","612-555-0100","1","11/28/2007 12:00:00 AM"
"5","849-555-0139","1","12/30/2007 12:00:00 AM"
"6","122-555-0189","3","12/16/2013 12:00:00 AM"
"7","181-555-0156","3","2/1/2009 12:00:00 AM"
"8","815-555-0138","1","12/22/2008 12:00:00 AM"
"9","185-555-0186","1","1/9/2009 12:00:00 AM"
"10","330-555-2568","3","4/26/2009 12:00:00 AM"
"11","719-555-0181","1","11/28/2010 12:00:00 AM"
"12","168-555-0183","3","12/4/2007 12:00:00 AM"
"13","473-555-0117","3","12/16/2010 12:00:00 AM"
"14","465-555-0156","1","12/23/2010 12:00:00 AM"
"15","970-555-0138","1","1/11/2011 12:00:00 AM"
"16","913-555-0172","3","12/13/2007 12:00:00 AM"
"17","150-555-0189","1","1/19/2007 12:00:00 AM"
"18","486-555-0150","3","1/31/2011 12:00:00 AM"
"19","124-555-0114","1","2/7/2011 12:00:00 AM"
"20","708-555-0141","3","12/31/2010 12:00:00 AM"
"21","138-555-0118","1","2/23/2009 12:00:00 AM"
"22","399-555-0176","3","12/5/2008 12:00:00 AM"
"23","531-555-0183","3","1/5/2009 12:00:00 AM"
"24","510-555-0121","3","1/11/2009 12:00:00 AM"
"25","870-555-0122","3","1/27/2009 12:00:00 AM"
"26","913-555-0196","3","11/24/2008 12:00:00 AM"
"27","632-555-0129","1","2/20/2008 12:00:00 AM"
"28","320-555-0195","3","6/23/2006 12:00:00 AM"
"29","417-555-0154","3","1/16/2009 12:00:00 AM"
"30","955-555-0169","1","1/22/2009 12:00:00 AM"
"31","818-555-0128","1","12/28/2008 12:00:00 AM"
"32","314-555-0113","1","12/22/2008 12:00:00 AM"
"33","499-555-0125","3","12/10/2008 12:00:00 AM"
"34","753-555-0129","1","2/9/2009 12:00:00 AM"
"35","429-555-0137","1","2/1/2009 12:00:00 AM"
"36","587-555-0115","1","2/3/2009 12:00:00 AM"
"37","315-555-0144","1","2/28/2009 12:00:00 AM"
"38","208-555-0114","1","1/9/2010 12:00:00 AM"
"39","919-555-0140","3","1/29/2010 12:00:00 AM"
"40","903-555-0145","3","12/19/2007 12:00:00 AM"
"41","712-555-0113","1","1/14/2009 12:00:00 AM"
"42","119-555-0117","1","12/20/2008 12:00:00 AM"
"43","970-555-0118","1","12/26/2008 12:00:00 AM"
"44","963-555-0134","3","12/1/2008 12:00:00 AM"
"45","278-555-0118","1","2/19/2009 12:00:00 AM"
"46","173-555-0179","1","2/1/2009 12:00:00 AM"
"47","908-555-0159","1","2/15/2009 12:00:00 AM"
"48","145-555-0130","1","12/30/2007 12:00:00 AM"
"49","206-555-0180","3","11/29/2013 12:00:00 AM"
"50","424-555-0189","3","1/26/2008 12:00:00 AM"
"51","984-555-0185","3","2/13/2008 12:00:00 AM"
"52","328-555-0150","1","1/31/2014 12:00:00 AM"
"53","202-555-0151","1","3/21/2008 12:00:00 AM"
"54","264-555-0150","3","12/25/2009 12:00:00 AM"
"55","508-555-0165","3","12/31/2013 12:00:00 AM"
"56","869-555-0119","1","1/29/2009 12:00:00 AM"
"57","167-555-0139","3","2/16/2009 12:00:00 AM"
"58","138-555-0128","3","11/28/2008 12:00:00 AM"
"59","611-555-0116","3","12/17/2008 12:00:00 AM"
"60","768-555-0123","1","1/4/2009 12:00:00 AM"
"61","361-555-0180","3","1/11/2009 12:00:00 AM"
"62","435-555-0113","3","2/7/2014 12:00:00 AM"
"63","237-555-0128","1","1/22/2010 12:00:00 AM"
"64","582-555-0148","1","2/16/2010 12:00:00 AM"
"65","961-555-0122","1","2/16/2010 12:00:00 AM"
"66","447-555-0186","3","12/15/2009 12:00:00 AM"
"67","407-555-0165","3","2/26/2009 12:00:00 AM"
"68","931-555-0118","3","11/26/2009 12:00:00 AM"
"69","712-555-0170","3","2/8/2009 12:00:00 AM"
