"CreditCardID","CardType","CardNumber","ExpMonth","ExpYear","ModifiedDate"
"1","SuperiorCard","33332664695310","11","2006","7/29/2013 12:00:00 AM"
"2","Distinguish","55552127249722","8","2005","12/5/2013 12:00:00 AM"
"3","ColonialVoice","77778344838353","7","2005","1/14/2014 12:00:00 AM"
"4","ColonialVoice","77774915718248","7","2006","5/20/2013 12:00:00 AM"
"5","Vista","11114404600042","4","2005","2/1/2013 12:00:00 AM"
"6","Distinguish","55557132036181","9","2006","4/10/2014 12:00:00 AM"
"7","Distinguish","55553635401028","6","2007","2/1/2013 12:00:00 AM"
"8","SuperiorCard","33336081193101","7","2007","6/30/2013 12:00:00 AM"
"9","Distinguish","55553465625901","2","2005","9/23/2013 12:00:00 AM"
"10","SuperiorCard","33332126386493","8","2008","8/31/2011 12:00:00 AM"
"11","SuperiorCard","33335352517363","10","2008","5/4/2014 12:00:00 AM"
"12","SuperiorCard","33334316194519","4","2008","5/30/2012 12:00:00 AM"
"13","Vista","11119775847802","11","2005","3/1/2014 12:00:00 AM"
"14","Distinguish","55553287727410","10","2006","11/19/2013 12:00:00 AM"
"15","SuperiorCard","33336866065599","11","2008","1/29/2013 12:00:00 AM"
"16","Vista","11111985451507","8","2006","12/30/2013 12:00:00 AM"
"17","ColonialVoice","77771220960729","8","2008","1/16/2014 12:00:00 AM"
"18","ColonialVoice","77773971683137","8","2007","12/29/2011 12:00:00 AM"
"19","ColonialVoice","77779803886862","9","2007","2/4/2014 12:00:00 AM"
"20","SuperiorCard","33332150058339","3","2007","12/17/2013 12:00:00 AM"
"21","SuperiorCard","33336474467548","3","2006","9/11/2013 12:00:00 AM"
"22","ColonialVoice","77772030376004","3","2005","12/24/2013 12:00:00 AM"
"23","Vista","11117174633569","7","2006","4/15/2012 12:00:00 AM"
"24","Vista","11111658051128","11","2005","8/21/2013 12:00:00 AM"
"25","Vista","11119905436490","1","2007","1/19/2013 12:00:00 AM"
"26","Distinguish","55554195847998","11","2008","8/27/2013 12:00:00 AM"
"27","SuperiorCard","33333837392825","12","2008","11/11/2013 12:00:00 AM"
"28","SuperiorCard","33337040086193","12","2006","7/31/2013 12:00:00 AM"
"29","SuperiorCard","33333594431481","2","2007","4/25/2014 12:00:00 AM"
"30","Vista","11111281844021","6","2006","1/13/2014 12:00:00 AM"
"31","Vista","11112040199986","10","2008","1/15/2009 12:00:00 AM"
"32","Distinguish","55552506272209","6","2006","1/21/2014 12:00:00 AM"
"33","SuperiorCard","33335588002748","2","2006","1/25/2012 12:00:00 AM"
"34","Vista","11115274414475","10","2006","11/25/2013 12:00:00 AM"
"35","SuperiorCard","33333028993903","2","2007","8/5/2012 12:00:00 AM"
"36","Vista","11111169772836","11","2006","9/3/2013 12:00:00 AM"
